"Real Time","Time (s)","Axis0 (mm)","Axis1 (mm)"
0,0,-.15375,-.15375
.197000000000116,.2,-.15375,-.15375
.39600000000064,.4,-.15375,-.15375
.595000000001164,.6,-.15375,-.15375
.794999999998254,.8,-.15375,-.15375
.993999999998778,1,-.15375,-.15375
1.1929999999993,1.2,-.15375,-.15375
1.39199999999983,1.4,-.15375,-.15375
1.59200000000419,1.6,-.15375,-.15375
1.79099999999744,1.8,-.15375,-.15375
1.98999999999796,2,-.15375,-.15375
2.18899999999849,2.2,-.15375,-.15375
